2022-05-23T02:19:11.698Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='24ab650c-81c6-41b1-80ed-54dbb7310d93', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653272471698, refreshable=false
2022-05-23T02:20:11.684Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='c413264f-15c0-44a2-8cba-1e8349ade795', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653272531683, refreshable=false
2022-05-23T02:20:11.702Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='80ae9d51-ccfe-4b72-84e5-4c903ba946ba', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653272531702, refreshable=false
2022-05-23T02:21:11.683Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='6284c7c5-0ecc-4818-8f1b-bb71129ae103', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653272591682, refreshable=false
2022-05-23T02:21:11.698Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='06005555-e02b-4699-a52a-cb463e4f6e49', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653272591698, refreshable=false
2022-05-23T02:22:11.683Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='72594854-683b-40f9-bb34-7ebb85188cc2', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653272651683, refreshable=false
2022-05-23T02:22:11.705Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='887a173a-b582-43f6-8c80-d1230cf48d85', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653272651705, refreshable=false
2022-05-23T02:22:26.317Z [AUDIT] Token created by 'jffe@000': tokenId='08d13b0c-080c-4e0c-95a2-4bfd9dcc65fd', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653273146317, refreshable=false
2022-05-23T02:22:26.317Z [AUDIT] Token created by 'jffe@000': tokenId='b0e7414f-621f-4595-b5b1-b3368a18f5c4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653273146317, refreshable=false
2022-05-23T02:22:26.317Z [AUDIT] Token created by 'jffe@000': tokenId='0180c459-58ca-4812-90a1-fd2c2c76ca89', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653273146317, refreshable=false
2022-05-23T02:22:26.317Z [AUDIT] Token created by 'jffe@000': tokenId='04cfa8bd-9755-4224-94d4-71620d499df1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653273146317, refreshable=false
2022-05-23T02:22:26.317Z [AUDIT] Token created by 'jffe@000': tokenId='608a6d6d-ab2e-463b-acb6-d28cabc8c335', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653273146317, refreshable=false
